GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Alter,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,woechentlicheArbeitszeit,Optimismus,Pessimismus,Schulabschluss,label
GBS-18120,,1,1951,65,1,1,1,2,6,1,0,2,0,2,4,3,4,2,1,1,3,3,4,4,4,4,4,2,4,3,2,2,4,4,4,3,3,4,4,3,2,3,3,4,2,4,2,1,5,1,3,1
GBS-18184,NEGATIV,0,1955,62,1,1,1,3,2,1,0,2,2,3,4,3,3,2,1,1,2,2,3,3,4,4,4,4,4,2,2,2,2,4,3,4,4,4,3,2,2,4,2,4,2,4,2,3,4,3,5,1
GBS-18926,POSITIV,0,1979,38,1,1,2,3,1,1,2,4,1,3,2,2,2,3,1,1,3,2,2,2,2,2,4,3,3,4,3,3,4,4,4,2,5,2,2,2,2,4,3,4,3,2,2,4,3,5,4,1
GBS-19400,POSITIV,1,1949,68,1,1,1,1,1,1,0,1,0,1,3,3,3,2,1,1,3,3,3,3,4,3,4,3,3,3,2,4,3,2,4,4,3,4,5,3,4,4,2,4,4,4,4,1,7,1,2,1
GBS-19512,,1,1972,45,1,1,0,2,1,1,0,3,1,2,2,3,3,3,1,1,3,2,3,3,2,3,3,3,4,2,2,2,3,3,4,4,5,1,4,3,3,4,3,3,3,3,3,2,6,2,3,1
GBS-19680,,0,1956,61,1,1,1,2,1,1,3,2,2,3,3,2,2,3,1,1,3,3,2,2,3,2,4,4,4,4,2,4,2,4,4,3,4,2,4,3,4,3,4,2,4,2,4,4,5,3,3,1
GBS-20053,,0,1946,71,1,1,1,3,2,2,0,2,1,3,3,3,3,2,1,1,3,3,3,3,4,3,4,4,5,2,2,4,2,3,4,2,3,4,5,2,2,4,1,4,2,2,2,1,6,2,5,1
GBS-20218,NEGATIV,1,1956,60,1,1,1,2,1,1,0,2,1,2,3,3,3,2,1,1,2,3,3,4,3,4,4,1,5,4,4,2,4,1,4,1,2,3,4,4,1,5,1,4,1,5,1,3,6,2,3,1
GBS-20381,POSITIV,1,1955,62,1,1,1,3,2,1,3,2,2,3,3,2,2,2,1,1,3,3,2,4,4,4,4,1,3,2,3,1,5,5,3,2,5,4,3,3,3,4,2,3,2,4,3,1,6,3,5,1
GBS-20595,POSITIV,0,1968,49,1,1,1,1,1,1,1,1,1,1,3,3,3,2,1,1,3,3,3,3,4,4,3,5,2,4,2,3,2,4,4,4,2,3,2,4,3,3,3,2,3,4,3,3,3,4,2,1
GBS-20709,,1,1958,58,1,1,1,1,1,1,0,1,1,1,3,3,3,2,1,1,3,3,3,4,4,4,4,4,4,3,4,2,4,4,4,4,2,4,5,4,2,4,2,4,3,4,2,2,7,1,2,1
GBS-20952,,1,1955,61,1,1,1,3,2,1,0,3,1,3,3,2,3,2,1,1,3,2,3,2,4,2,3,3,2,5,2,4,4,4,5,5,4,2,1,4,4,2,4,2,4,1,4,3,2,6,5,1
GBS-20957,,0,1942,75,0,1,1,2,6,1,0,1,0,2,4,3,3,2,1,1,3,3,3,3,3,3,4,4,4,2,4,1,4,2,4,2,4,3,3,4,2,4,2,2,2,4,2,1,5,2,4,1
GBS-21180,NEGATIV,0,1949,68,1,1,1,3,2,1,0,2,2,3,3,3,3,2,1,1,5,3,3,4,3,3,4,5,4,3,3,2,2,3,4,4,4,4,4,4,4,3,2,4,4,2,4,1,6,3,5,1
GBS-21254,POSITIV,0,1952,65,1,1,1,3,5,1,0,2,1,4,4,3,3,2,1,1,3,3,3,3,4,3,4,4,4,2,4,5,2,2,5,1,4,4,5,4,2,5,1,5,2,4,2,1,6,2,5,1
GBS-21466,NEGATIV,0,1948,69,1,1,1,1,4,1,0,2,1,2,2,3,3,2,1,1,2,3,3,3,3,3,4,4,4,2,4,4,4,2,4,2,4,3,4,2,2,3,4,4,2,2,2,2,5,2,2,1
GBS-22160,POSITIV,0,1955,61,1,1,1,3,5,1,3,2,3,4,4,1,3,3,1,1,3,3,3,4,4,4,4,2,5,2,4,1,4,2,4,2,5,4,5,4,1,5,2,5,1,5,1,4,6,1,5,1
GBS-22274,,0,1947,70,1,1,1,1,1,1,3,2,2,3,3,3,3,2,1,0,3,3,3,4,4,4,4,1,4,1,4,4,5,2,4,1,4,4,5,3,1,4,1,5,1,5,1,1,7,1,2,1
GBS-22623,,1,1945,72,1,1,1,3,6,2,8,3,0,2,3,3,3,2,1,1,3,3,3,4,3,4,4,3,4,2,5,3,2,3,5,3,4,4,5,4,2,5,2,4,4,5,2,1,6,1,1,1
GBS-22690,,0,1951,66,1,1,1,1,4,1,0,2,2,3,3,3,3,2,1,1,3,3,3,4,4,3,4,1,3,2,3,1,4,3,3,2,4,3,3,3,2,3,2,3,2,3,2,3,6,2,2,1
GBS-23224,NEGATIV,0,1980,37,1,0,2,2,1,1,5,2,1,1,2,2,3,2,0,1,4,3,3,2,2,2,2,4,4,2,3,4,2,2,2,2,4,2,2,3,4,5,5,4,4,4,4,5,7,1,4,1
GBS-23235,POSITIV,1,1985,32,1,1,1,3,2,4,2,1,1,4,4,2,2,2,1,1,3,2,2,3,3,3,4,2,4,1,3,1,4,3,4,2,5,3,5,2,3,4,2,4,3,4,3,1,7,1,5,1
GBS-23269,NEGATIV,1,1965,51,1,1,2,2,5,1,0,1,1,4,2,2,2,2,1,1,4,3,2,2,2,2,2,4,2,2,3,2,2,4,4,2,3,2,2,4,2,3,3,3,2,2,2,2,3,5,1,1
GBS-23639,,1,1993,24,1,1,2,3,8,3,0,1,0,1,4,3,2,2,1,1,3,3,2,2,4,2,4,4,4,4,2,3,2,4,5,5,3,3,2,2,3,4,4,5,3,4,3,1,2,5,4,1
GBS-23829,POSITIV,0,1994,22,1,1,2,3,1,2,5,3,0,3,4,1,3,2,1,1,3,2,3,2,4,4,4,4,2,1,4,2,3,2,5,2,5,2,4,1,2,5,2,5,2,4,2,3,6,2,4,1
GBS-23841,,0,1947,70,1,1,1,1,2,1,0,1,2,3,3,3,3,2,1,1,3,3,3,3,4,4,3,3,3,1,3,3,4,2,4,3,4,4,3,2,2,4,2,4,2,4,2,1,5,3,2,1
GBS-24193,,1,1946,71,1,1,1,1,1,1,0,1,0,1,2,2,3,2,1,1,3,3,3,3,2,3,4,3,4,3,3,2,5,1,5,3,5,4,4,3,3,3,3,3,3,3,3,1,6,4,2,1
GBS-24302,NEGATIV,1,1980,37,1,1,1,3,2,1,0,4,2,4,3,2,3,2,1,1,4,3,3,2,2,3,3,2,3,4,1,2,2,4,2,4,5,2,3,4,4,3,4,2,4,3,4,3,3,5,5,1
GBS-24312,NEGATIV,1,1993,23,1,1,2,3,8,2,0,2,0,0,3,3,3,2,1,1,2,3,3,3,3,3,4,5,4,5,2,4,2,3,4,3,3,4,4,3,4,3,2,1,3,4,4,1,5,4,4,1
GBS-24546,,0,1944,73,1,1,2,2,4,1,0,2,1,3,3,3,3,2,1,1,3,3,3,3,4,3,4,5,2,2,2,2,2,2,5,3,4,4,4,5,3,4,2,4,2,4,3,3,4,4,4,1
GBS-24634,,1,1960,57,1,1,1,3,5,1,0,4,1,3,2,4,3,2,1,1,3,3,3,2,2,2,2,4,3,4,3,2,4,3,4,4,3,2,5,2,2,3,4,3,2,3,2,3,5,4,5,1
GBS-25545,NEGATIV,0,1965,52,1,1,1,1,1,1,0,3,2,3,3,1,2,1,1,1,3,2,2,4,1,3,4,3,2,1,5,1,4,2,5,2,5,2,5,4,1,5,1,4,1,5,1,5,7,2,2,1
GBS-25607,NEGATIV,0,1952,65,1,1,1,3,2,1,0,2,2,4,3,3,3,2,0,0,3,3,3,4,4,4,4,4,2,4,5,4,2,2,4,1,3,4,5,3,2,4,3,4,2,4,2,1,6,1,5,1
GBS-26161,POSITIV,0,1956,61,1,1,2,1,1,1,0,1,1,1,3,3,3,2,1,1,3,3,3,3,3,3,4,4,4,5,3,4,3,3,4,3,3,3,4,2,3,4,3,3,3,3,3,1,6,2,2,1
GBS-26284,,1,1992,25,1,1,2,3,1,2,0,3,1,4,4,3,3,2,1,1,3,3,3,4,4,4,3,2,2,4,3,2,4,3,4,2,4,4,4,4,2,4,2,4,2,4,2,1,6,2,4,1
GBS-26785,,1,1990,27,1,1,2,3,5,2,0,2,0,0,2,2,2,3,1,1,3,2,2,1,2,1,3,2,3,4,2,4,4,4,4,4,2,1,4,3,4,4,5,4,2,4,4,1,6,3,5,1
GBS-27402,POSITIV,1,1991,25,1,1,2,3,5,3,0,1,0,1,3,2,3,2,1,1,3,2,3,3,3,3,3,2,4,4,2,2,4,4,4,2,3,2,3,2,4,3,2,3,4,3,4,2,5,2,5,1
GBS-27639,,0,1950,66,1,1,1,1,4,1,0,2,1,1,3,3,3,2,1,1,3,3,3,3,4,4,4,4,3,2,4,5,3,3,4,3,2,4,4,3,2,4,3,4,2,4,2,1,4,3,2,1
GBS-27836,POSITIV,0,1966,51,1,1,2,2,1,1,0,1,2,3,4,3,3,2,0,0,3,3,3,4,4,4,4,4,2,2,3,2,2,4,4,4,3,3,4,2,3,4,2,4,3,3,3,3,5,3,4,1
GBS-28015,NEGATIV,0,1996,21,1,1,2,3,8,3,5,1,1,1,3,2,2,2,1,1,4,2,2,3,3,3,2,2,4,4,3,4,3,3,4,2,3,2,4,2,1,4,2,4,2,5,1,4,6,2,4,1
GBS-28052,NEGATIV,1,1972,44,1,1,1,3,2,1,4,4,2,4,4,2,3,2,1,1,3,4,3,3,2,2,4,4,4,1,2,2,3,3,5,2,4,1,3,3,2,3,2,2,2,2,2,3,5,4,5,1
GBS-28099,,0,1952,65,1,1,1,1,4,1,0,1,2,4,4,4,3,1,1,1,3,4,3,3,4,4,4,2,4,2,4,5,4,4,5,4,2,4,5,1,1,5,2,5,2,5,1,1,6,5,2,1
GBS-28148,,1,1976,41,1,1,1,3,2,1,0,4,1,4,3,3,3,2,1,1,3,3,3,3,3,3,3,4,5,2,3,3,2,3,5,4,3,3,4,3,4,3,2,4,3,3,4,2,5,3,5,1
GBS-28322,NEGATIV,1,1955,62,1,1,1,3,2,2,0,2,1,3,3,3,3,2,1,1,2,3,3,4,3,4,4,4,4,2,3,2,4,4,4,4,4,4,5,3,2,4,2,4,2,4,2,1,7,2,4,1
GBS-28651,,0,1960,56,1,1,1,1,1,1,3,2,3,4,4,3,3,2,1,1,3,3,3,4,4,4,4,2,3,1,4,4,4,2,1,2,2,4,5,3,1,5,1,5,1,5,1,4,6,2,2,1
GBS-28679,POSITIV,1,1987,29,1,1,2,3,2,2,5,1,0,3,4,2,2,3,1,1,3,2,2,4,4,4,4,2,4,2,4,2,4,2,4,4,4,4,4,2,1,5,1,4,2,4,1,2,6,2,5,1
GBS-29070,,0,1978,39,1,1,2,1,1,1,1,1,0,0,3,3,2,2,1,1,3,3,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,2,4,2,3,5,2,2,1
GBS-29362,,0,1956,61,1,1,2,2,1,1,0,2,1,3,2,3,3,2,1,1,3,3,3,4,3,3,4,4,4,2,4,4,4,2,4,2,2,3,3,2,3,3,3,4,3,3,3,3,6,2,3,1
GBS-29416,POSITIV,0,1958,59,1,1,1,3,2,1,0,2,2,3,2,3,3,2,1,1,3,3,3,3,2,3,3,3,1,3,1,4,3,4,4,5,3,3,2,3,4,3,2,2,4,2,4,1,1,7,5,1
GBS-29825,,1,1985,32,1,1,2,3,2,2,0,1,1,2,4,3,4,2,1,1,3,4,4,3,4,3,4,3,5,3,4,3,4,2,4,3,4,2,4,2,3,4,2,4,2,4,3,3,7,2,5,1
GBS-30276,,1,1992,25,1,1,2,3,8,1,0,5,0,2,2,4,2,3,1,1,3,3,2,2,2,3,4,2,5,4,2,4,5,2,3,2,3,2,3,1,1,4,3,4,1,4,1,1,6,2,4,1
GBS-30551,NEGATIV,1,1951,66,1,1,2,1,6,1,0,1,1,1,3,3,3,2,1,1,1,3,3,4,3,4,4,2,3,2,4,1,5,3,5,2,4,4,5,3,2,5,1,5,1,2,2,1,7,2,2,1
GBS-30926,,1,1962,55,1,1,1,3,1,1,0,4,1,4,3,3,3,2,1,1,3,3,3,4,4,4,4,2,3,2,2,5,4,2,4,1,2,4,5,4,1,4,2,4,1,5,1,2,7,1,4,1
GBS-31045,POSITIV,1,1991,26,1,1,2,3,2,2,5,1,1,1,4,3,3,2,1,1,3,3,3,3,4,3,4,1,3,2,2,4,4,4,5,2,3,3,5,4,1,4,1,4,1,4,1,5,6,2,5,1
GBS-31747,,1,1977,39,1,1,2,2,4,1,0,3,1,1,4,3,3,1,1,1,3,3,3,4,3,4,4,2,5,1,5,3,4,4,5,1,5,4,5,3,1,5,1,4,1,5,1,2,7,1,4,1
GBS-31810,,1,1952,65,0,1,2,2,2,2,0,1,2,4,3,3,4,2,1,1,3,3,4,4,4,4,4,3,3,1,3,1,4,2,4,2,3,4,5,3,1,4,2,4,1,5,1,5,7,2,4,1
GBS-31883,NEGATIV,0,1957,59,1,1,1,3,4,1,2,3,0,2,2,2,3,2,1,1,5,2,3,4,2,4,4,1,4,2,2,4,4,2,4,1,4,4,5,3,1,4,2,4,1,4,1,5,7,1,4,1
GBS-32520,,1,1992,25,1,1,2,3,2,2,0,2,1,3,3,3,4,2,1,1,3,4,4,3,3,4,4,3,5,2,2,2,5,4,4,4,4,2,4,4,1,4,2,5,4,4,1,4,6,2,5,1
GBS-32725,POSITIV,0,1959,57,1,1,1,3,2,1,0,4,2,4,4,3,3,2,1,1,3,3,3,4,4,4,4,4,5,1,4,3,2,2,5,2,4,4,5,2,2,4,1,4,1,4,2,3,7,1,5,1
GBS-32873,,0,1993,24,1,0,2,3,8,2,0,1,0,0,4,3,3,2,1,1,3,3,3,4,4,4,4,2,3,2,4,4,5,2,4,1,5,4,5,1,2,4,2,4,3,4,2,2,6,2,4,1
GBS-33177,NEGATIV,1,1994,23,1,1,2,3,8,2,0,1,0,0,4,4,4,2,1,1,4,3,4,3,3,3,4,2,4,2,3,2,4,3,4,2,4,3,4,4,1,4,2,4,2,5,1,1,5,4,4,1
GBS-34007,,0,1995,22,1,1,2,3,8,2,0,5,0,3,3,3,3,2,1,1,3,3,3,3,4,4,4,3,4,4,3,2,3,3,4,4,4,3,4,3,2,4,2,4,2,4,2,1,6,2,4,1
GBS-34425,,1,1976,41,0,0,1,3,2,1,0,4,3,4,4,2,2,3,1,1,3,2,2,3,4,3,4,2,4,2,1,3,4,3,4,3,2,3,4,3,2,4,2,4,2,4,2,3,6,1,5,1
GBS-34518,NEGATIV,1,1987,30,1,1,2,3,1,3,0,1,1,1,2,2,3,2,1,1,3,3,3,1,3,2,3,4,3,3,2,1,3,3,4,4,4,1,3,2,4,2,4,2,5,4,4,1,2,5,4,1
GBS-34633,,0,1989,28,0,1,2,3,5,2,0,2,0,1,4,3,3,2,0,1,3,3,3,4,4,4,4,2,3,4,4,3,4,3,4,2,5,4,5,2,2,5,2,5,4,4,2,1,6,3,5,1
GBS-34636,POSITIV,1,1989,28,1,1,2,3,5,2,0,1,0,1,2,3,2,2,1,1,3,3,2,4,2,4,4,2,4,4,4,1,3,2,4,4,5,3,5,2,1,4,3,4,2,4,1,1,6,2,5,1
GBS-34669,,1,1991,25,1,1,1,3,5,2,0,2,0,0,4,3,3,2,1,1,3,3,3,4,4,4,4,1,4,3,3,5,5,2,5,2,3,3,3,4,1,4,1,4,1,4,1,1,4,2,5,1
GBS-34701,,0,1977,40,1,1,2,3,2,1,3,3,3,4,3,2,2,2,1,1,3,3,2,2,4,3,4,3,4,2,3,1,4,3,5,3,2,2,4,2,1,4,1,4,2,5,1,4,5,4,5,1
GBS-35109,,0,1971,46,1,1,1,1,1,1,0,3,1,2,3,2,3,3,1,1,3,2,3,3,3,4,4,4,4,2,2,2,2,4,4,2,4,3,3,2,1,4,4,4,1,4,1,5,4,4,2,1
GBS-35800,,0,1977,40,1,1,2,3,5,2,0,1,4,4,4,3,3,2,1,1,3,3,3,4,4,4,4,4,2,3,4,2,3,2,4,1,4,4,5,4,1,5,2,4,2,5,1,3,7,2,5,1
GBS-35943,,0,1965,52,1,1,2,2,1,1,0,1,3,3,2,2,3,2,1,1,3,3,3,4,3,4,4,5,3,4,1,5,2,4,4,1,3,3,4,3,2,4,4,3,2,4,2,3,3,4,3,1
GBS-35948,POSITIV,1,1992,25,1,1,2,3,8,3,5,1,1,1,3,3,3,2,1,1,3,3,3,4,3,3,4,1,4,3,2,5,5,5,5,2,2,4,4,4,3,4,2,4,1,4,3,2,4,6,4,1
