,GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich
10,GBS-30029,POSITIV,weiblich,1990-08-04,Deutschland,1.0,Ledig,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,Angestellte(r),eine Person,1 750 	 bis unter	2 000 Euro,1 750 	 bis unter	2 000 Euro,eher zutreffend (4),weder noch (3),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),weder noch (3),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),4.0,2.0,3.0,2.0,,5.0,,3.0,3.0,4.0,4.0,4.0,4.0
11,GBS-04964,,männlich,1991-06-24,Deutschland,2.0,Ledig,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,keine passende Angabe,"mehrere Personen, und zwar:",801	 bis unter 	1 000 Euro,1 500	 bis unter	1 750 Euro,weder noch (3),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft ueberhaupt nicht zu (1),weder noch (3),weder noch (3),trifft eher nicht zu (2),weder noch (3),eher zutreffend (4),2.0,3.0,3.0,2.0,True,,,3.0,3.0,2.0,3.0,3.0,3.0
12,GBS-19680,,männlich,1956-07-20,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Realschulabschluss (Mittlere Reife),Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,1.0,"Beamter/Beamtin, Richter/-in, Berufssoldat/-in","mehrere Personen, und zwar:",2 250	 bis unter	2 500 Euro,3 000	 bis unter 	3 250 Euro,eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),weder noch (3),eher zutreffend (4),3.0,2.0,2.0,3.0,True,,,3.0,2.0,2.0,3.0,2.0,4.0
13,GBS-05717,,männlich,1982-09-24,"sonstige, und zwar:",2.0,Ledig,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,"Akademiker/-in in freiem Beruf (Arzt/Ärztin, Rechtsanwalt/-anwältin, Steuerberater/-in u. Ä.)","mehrere Personen, und zwar:",2 750	 bis unter 	3 000 Euro,5000	 bis unter	5 500 Euro,trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),weder noch (3),4.0,3.0,3.0,2.0,,5.0,,3.0,3.0,2.0,4.0,3.0,4.0
14,GBS-05717,,männlich,,,,,Hochschulabschluss,,,,,2 750	 bis unter 	3 000 Euro,,trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),weder noch (3),3.0,3.0,3.0,2.0,True,,,3.0,3.0,2.0,3.0,2.0,4.0
15,GBS-21327,,weiblich,1963-03-21,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Fachhochschulreife (Abschluss einer Fachoberschule),"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",1.0,[NA] Keine Angabe,"mehrere Personen, und zwar:",kein eigenes Einkommen,2 750	 bis unter 	3 000 Euro,trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft voll und ganz zu (5),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),2.0,-1.0,3.0,3.0,True,,,2.0,3.0,3.0,2.0,2.0,2.0
16,GBS-26856,POSITIV,weiblich,1948-10-21,Deutschland,1.0,Verwitwet,Realschulabschluss (Mittlere Reife),"Anderer Abschluss, und zwar:",1.0,keine passende Angabe,eine Person,2 500 	 bis unter 	2 750 Euro,2 500 	 bis unter 	2 750 Euro,trifft eher nicht zu (2),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),eher zutreffend (4),trifft voll und ganz zu (5),weder noch (3),trifft voll und ganz zu (5),4.0,3.0,3.0,2.0,,5.0,,3.0,3.0,4.0,4.0,4.0,4.0
17,GBS-26856,POSITIV,weiblich,,,,,Realschulabschluss (Mittlere Reife),,,,,2 500 	 bis unter 	2 750 Euro,,trifft eher nicht zu (2),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),eher zutreffend (4),trifft voll und ganz zu (5),weder noch (3),trifft voll und ganz zu (5),4.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,3.0,3.0
18,GBS-32249,,männlich,1983-02-10,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,"Fachhochschulabschluss (z. B. Diplom, Master)",1.0,Angestellte(r),"mehrere Personen, und zwar:",3 000	 bis unter 	3 250 Euro,5 500	 bis unter	6 000 Euro,trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),4.0,2.0,3.0,2.0,,5.0,,2.0,3.0,3.0,4.0,4.0,4.0
19,GBS-32249,,männlich,,,,,Hochschulabschluss,,,,,3 000	 bis unter 	3 250 Euro,,trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),4.0,3.0,3.0,2.0,True,,,4.0,3.0,4.0,4.0,4.0,4.0
20,GBS-05283,NEGATIV,männlich,1980-08-24,"sonstige, und zwar:",1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,Angestellte(r),"mehrere Personen, und zwar:",3 000	 bis unter 	3 250 Euro,3 250	 bis unter 	3 500 Euro,trifft voll und ganz zu (5),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),4.0,3.0,2.0,2.0,,,2.0,3.0,2.0,2.0,4.0,4.0,4.0
21,GBS-05283,NEGATIV,männlich,,,,,Hochschulabschluss,,,,,3 000	 bis unter 	3 250 Euro,,trifft voll und ganz zu (5),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),4.0,3.0,3.0,2.0,False,,,3.0,3.0,4.0,4.0,4.0,4.0
22,GBS-29362,,männlich,1956-02-02,Deutschland,1.0,Geschieden,Realschulabschluss (Mittlere Reife),Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,1.0,Angestellte(r),"mehrere Personen, und zwar:",1 750 	 bis unter	2 000 Euro,3 500	 bis unter 	3 750 Euro,eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),2.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,3.0,3.0,4.0
23,GBS-29860,NEGATIV,männlich,1971-11-15,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,"Fachhochschulabschluss (z. B. Diplom, Master)",1.0,Angestellte(r),"mehrere Personen, und zwar:",1 500	 bis unter	1 750 Euro,4 000	 bis unter	4 500 Euro,eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),weder noch (3),eher zutreffend (4),weder noch (3),eher zutreffend (4),3.0,3.0,3.0,2.0,,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
24,GBS-29860,NEGATIV,männlich,,,,,Hochschulabschluss,,,,,1 500	 bis unter	1 750 Euro,,eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),weder noch (3),eher zutreffend (4),weder noch (3),eher zutreffend (4),3.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
25,GBS-34636,POSITIV,weiblich,1989-01-18,Deutschland,1.0,Ledig,Hochschulabschluss,Bachelor an (Fach-)Hochschule abgeschlossen,2.0,keine passende Angabe,"mehrere Personen, und zwar:",500 	 bis unter	800 Euro,1 750 	 bis unter	2 000 Euro,trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft ueberhaupt nicht zu (1),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),4.0,4.0,3.0,2.0,,5.0,,3.0,3.0,4.0,4.0,4.0,4.0
26,GBS-34636,POSITIV,weiblich,,,,,Hochschulabschluss,,,,,500 	 bis unter	800 Euro,,trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft ueberhaupt nicht zu (1),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),2.0,3.0,2.0,2.0,True,,,3.0,2.0,4.0,2.0,4.0,4.0
27,GBS-01820,POSITIV,männlich,1970-03-05,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,Bachelor an (Fach-)Hochschule abgeschlossen,1.0,Angestellte(r),"mehrere Personen, und zwar:",2 000	 bis unter	2 250 Euro,3 750	 bis unter 	4 000 Euro,eher zutreffend (4),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),3.0,2.0,3.0,2.0,,5.0,,2.0,3.0,4.0,4.0,4.0,4.0
28,GBS-01820,POSITIV,männlich,,,,,Hochschulabschluss,,,,,2 000	 bis unter	2 250 Euro,,eher zutreffend (4),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),2.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,2.0,4.0,4.0
29,GBS-32910,,männlich,1995-01-02,Deutschland,1.0,Ledig,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",1.0,[NA] Keine Angabe,"mehrere Personen, und zwar:",500 	 bis unter	800 Euro,3 000	 bis unter 	3 250 Euro,trifft eher nicht zu (2),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),weder noch (3),trifft eher nicht zu (2),weder noch (3),trifft voll und ganz zu (5),trifft voll und ganz zu (5),1.0,1.0,2.0,3.0,True,,,3.0,2.0,1.0,1.0,1.0,4.0
30,GBS-35839,POSITIV,weiblich,1962-01-15,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Realschulabschluss (Mittlere Reife),Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,1.0,keine passende Angabe,"mehrere Personen, und zwar:",801	 bis unter 	1 000 Euro,1 750 	 bis unter	2 000 Euro,trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),trifft voll und ganz zu (5),trifft voll und ganz zu (5),3.0,3.0,3.0,2.0,,5.0,,3.0,3.0,3.0,3.0,3.0,3.0
31,GBS-35839,POSITIV,weiblich,,,,,Realschulabschluss (Mittlere Reife),,,,,801	 bis unter 	1 000 Euro,,trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),trifft voll und ganz zu (5),trifft voll und ganz zu (5),1.0,2.0,1.0,4.0,True,,,2.0,1.0,2.0,3.0,3.0,3.0
32,GBS-23841,,männlich,1947-02-22,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hauptschulabschluss/Volksschulabschluss,"Anderer Abschluss, und zwar:",1.0,[NA] Keine Angabe,eine Person,Angabe verweigert,Angabe verweigert,weder noch (3),weder noch (3),trifft ueberhaupt nicht zu (1),weder noch (3),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),weder noch (3),eher zutreffend (4),3.0,3.0,3.0,2.0,True,,,3.0,3.0,3.0,4.0,4.0,3.0
33,GBS-32072,,weiblich,1993-03-01,Deutschland,1.0,Ledig,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",2.0,keine passende Angabe,eine Person,801	 bis unter 	1 000 Euro,801	 bis unter 	1 000 Euro,trifft eher nicht zu (2),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft voll und ganz zu (5),eher zutreffend (4),eher zutreffend (4),4.0,3.0,3.0,2.0,True,,,3.0,3.0,3.0,3.0,4.0,4.0
34,GBS-03802,POSITIV,männlich,1970-08-07,Deutschland,1.0,Geschieden,Fachhochschulreife (Abschluss einer Fachoberschule),"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",1.0,keine passende Angabe,eine Person,500 	 bis unter	800 Euro,500 	 bis unter	800 Euro,trifft voll und ganz zu (5),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),1.0,1.0,4.0,4.0,,5.0,,4.0,4.0,4.0,4.0,4.0,4.0
35,GBS-03802,POSITIV,männlich,,,,,Fachhochschulreife (Abschluss einer Fachoberschule),,,,,500 	 bis unter	800 Euro,,trifft voll und ganz zu (5),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),3.0,-1.0,3.0,2.0,True,,,3.0,3.0,4.0,-1.0,4.0,3.0
36,GBS-13506,NEGATIV,weiblich,1954-05-29,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hauptschulabschluss/Volksschulabschluss,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,1.0,Angestellte(r),"mehrere Personen, und zwar:",1 250 	 bis unter 	1 500 Euro,3 250	 bis unter 	3 500 Euro,trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),3.0,3.0,3.0,3.0,,5.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0
37,GBS-13506,NEGATIV,weiblich,,,,,Hauptschulabschluss/Volksschulabschluss,,,,,1 250 	 bis unter 	1 500 Euro,,trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),3.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
38,GBS-06972,POSITIV,weiblich,1989-06-02,Deutschland,1.0,Ledig,Hochschulabschluss,Bachelor an (Fach-)Hochschule abgeschlossen,2.0,Angestellte(r),"mehrere Personen, und zwar:",801	 bis unter 	1 000 Euro,4 000	 bis unter	4 500 Euro,eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft eher nicht zu (2),4.0,3.0,3.0,2.0,,5.0,,3.0,3.0,4.0,4.0,4.0,4.0
39,GBS-06972,POSITIV,weiblich,,,,,Hochschulabschluss,,,,,801	 bis unter 	1 000 Euro,,eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft eher nicht zu (2),4.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
40,GBS-22673,,männlich,1966-06-10,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Anderer Schulabschluss:,Promotion,1.0,Angestellte(r),"mehrere Personen, und zwar:",4 000	 bis unter	4 500 Euro,5000	 bis unter	5 500 Euro,trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),4.0,2.0,2.0,3.0,,5.0,,2.0,2.0,3.0,3.0,3.0,4.0
41,GBS-22673,,männlich,,,,,Anderer Schulabschluss:,,,,,4 000	 bis unter	4 500 Euro,,trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),2.0,3.0,3.0,3.0,True,,,2.0,3.0,3.0,4.0,2.0,4.0
42,GBS-26225,,weiblich,1990-10-07,Deutschland,1.0,Ledig,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",1.0,Angestellte(r),"mehrere Personen, und zwar:",1 250 	 bis unter 	1 500 Euro,2 250	 bis unter	2 500 Euro,eher zutreffend (4),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),weder noch (3),trifft eher nicht zu (2),weder noch (3),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft eher nicht zu (2),1.0,2.0,3.0,2.0,,5.0,,2.0,3.0,3.0,1.0,3.0,4.0
43,GBS-26225,,weiblich,,,,,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",,,,,1 250 	 bis unter 	1 500 Euro,,eher zutreffend (4),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),weder noch (3),trifft eher nicht zu (2),weder noch (3),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft eher nicht zu (2),2.0,3.0,3.0,-1.0,True,,,3.0,3.0,3.0,2.0,4.0,4.0
44,GBS-22003,NEGATIV,männlich,1954-05-30,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,Promotion,1.0,"Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)","mehrere Personen, und zwar:",6 000	 bis unter 	7 500 Euro,7 500 	 bis unter 	10 000 Euro,eher zutreffend (4),eher zutreffend (4),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),4.0,3.0,3.0,2.0,,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
