,Berufliche Ausbildung,Berufsgruppe,Erwerbstaetigkeit,Familienstand,Geburtsjahr,Geburtsland,Geschlecht,Hoechster Bildungsabschluss,Nationalitaet,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Personen im Haushalt,Umfrage
10,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1990,Deutschland,Weiblich,Hochschulabschluss,Deutschland,1 750 	 bis unter	2 000 Euro,1 750 	 bis unter	2 000 Euro,eine Person,GBS
11,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",keine passende Angabe,Vollzeiterwerbstätig,Ledig,1991,Deutschland,Männlich,Hochschulabschluss,Andere,1 500	 bis unter	1 750 Euro,801	 bis unter 	1 000 Euro,"mehrere Personen, und zwar:",GBS
12,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,"Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1956,Deutschland,Männlich,Realschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,2 250	 bis unter	2 500 Euro,"mehrere Personen, und zwar:",GBS
13,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Akademiker/-in in freiem Beruf (Arzt/Ärztin, Rechtsanwalt/-anwältin, Steuerberater/-in u. Ä.)",Vollzeiterwerbstätig,Ledig,1982,Andere,Männlich,Hochschulabschluss,Andere,5000	 bis unter	5 500 Euro,2 750	 bis unter 	3 000 Euro,"mehrere Personen, und zwar:",GBS
14,,,,,nan,,Männlich,Hochschulabschluss,,,2 750	 bis unter 	3 000 Euro,,GBS
15,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",[NA] Keine Angabe,Vollzeiterwerbstätig,Verheiratet,1963,Deutschland,Weiblich,Abitur,Deutschland,2 750	 bis unter 	3 000 Euro,kein eigenes Einkommen,"mehrere Personen, und zwar:",GBS
16,"Anderer Abschluss, und zwar:",keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1948,Deutschland,Weiblich,Realschulabschluss,Deutschland,2 500 	 bis unter 	2 750 Euro,2 500 	 bis unter 	2 750 Euro,eine Person,GBS
17,,,,,nan,,Weiblich,Realschulabschluss,,,2 500 	 bis unter 	2 750 Euro,,GBS
18,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1983,Deutschland,Männlich,Hochschulabschluss,Deutschland,5 500	 bis unter	6 000 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
19,,,,,nan,,Männlich,Hochschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
20,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1980,Andere,Männlich,Hochschulabschluss,Deutschland,3 250	 bis unter 	3 500 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
21,,,,,nan,,Männlich,Hochschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
22,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1956,Deutschland,Männlich,Realschulabschluss,Deutschland,3 500	 bis unter 	3 750 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
23,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1971,Deutschland,Männlich,Hochschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
24,,,,,nan,,Männlich,Hochschulabschluss,,,1 500	 bis unter	1 750 Euro,,GBS
25,Bachelor an (Fach-)Hochschule abgeschlossen,keine passende Angabe,Nicht erwerbstätig,Ledig,1989,Deutschland,Weiblich,Hochschulabschluss,Deutschland,1 750 	 bis unter	2 000 Euro,500 	 bis unter	800 Euro,"mehrere Personen, und zwar:",GBS
26,,,,,nan,,Weiblich,Hochschulabschluss,,,500 	 bis unter	800 Euro,,GBS
27,Bachelor an (Fach-)Hochschule abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1970,Deutschland,Männlich,Hochschulabschluss,Deutschland,3 750	 bis unter 	4 000 Euro,2 000	 bis unter	2 250 Euro,"mehrere Personen, und zwar:",GBS
28,,,,,nan,,Männlich,Hochschulabschluss,,,2 000	 bis unter	2 250 Euro,,GBS
29,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",[NA] Keine Angabe,Vollzeiterwerbstätig,Ledig,1995,Deutschland,Männlich,Abitur,Deutschland,3 000	 bis unter 	3 250 Euro,500 	 bis unter	800 Euro,"mehrere Personen, und zwar:",GBS
30,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1962,Deutschland,Weiblich,Realschulabschluss,Deutschland,1 750 	 bis unter	2 000 Euro,801	 bis unter 	1 000 Euro,"mehrere Personen, und zwar:",GBS
31,,,,,nan,,Weiblich,Realschulabschluss,,,801	 bis unter 	1 000 Euro,,GBS
32,"Anderer Abschluss, und zwar:",[NA] Keine Angabe,Vollzeiterwerbstätig,Verheiratet,1947,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,eine Person,GBS
33,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",keine passende Angabe,Nicht erwerbstätig,Ledig,1993,Deutschland,Weiblich,Abitur,Deutschland,801	 bis unter 	1 000 Euro,801	 bis unter 	1 000 Euro,eine Person,GBS
34,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",keine passende Angabe,Vollzeiterwerbstätig,Geschieden,1970,Deutschland,Männlich,Abitur,Deutschland,500 	 bis unter	800 Euro,500 	 bis unter	800 Euro,eine Person,GBS
35,,,,,nan,,Männlich,Abitur,,,500 	 bis unter	800 Euro,,GBS
36,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1954,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,3 250	 bis unter 	3 500 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
37,,,,,nan,,Weiblich,Hauptschulabschluss,,,1 250 	 bis unter 	1 500 Euro,,GBS
38,Bachelor an (Fach-)Hochschule abgeschlossen,Angestellte(r),Nicht erwerbstätig,Ledig,1989,Deutschland,Weiblich,Hochschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,801	 bis unter 	1 000 Euro,"mehrere Personen, und zwar:",GBS
39,,,,,nan,,Weiblich,Hochschulabschluss,,,801	 bis unter 	1 000 Euro,,GBS
40,Promotion,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1966,Deutschland,Männlich,Andere,Deutschland,5000	 bis unter	5 500 Euro,4 000	 bis unter	4 500 Euro,"mehrere Personen, und zwar:",GBS
41,,,,,nan,,Männlich,Andere,,,4 000	 bis unter	4 500 Euro,,GBS
42,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Ledig,1990,Deutschland,Weiblich,Abitur,Deutschland,2 250	 bis unter	2 500 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
43,,,,,nan,,Weiblich,Abitur,,,1 250 	 bis unter 	1 500 Euro,,GBS
44,Promotion,"Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Verheiratet,1954,Deutschland,Männlich,Hochschulabschluss,Deutschland,7 500 	 bis unter 	10 000 Euro,6 000	 bis unter 	7 500 Euro,"mehrere Personen, und zwar:",GBS
45,,,,,nan,,Männlich,Hochschulabschluss,,,6 000	 bis unter 	7 500 Euro,,GBS
46,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Verheiratet,1960,Andere,Männlich,Hochschulabschluss,Deutschland,5000	 bis unter	5 500 Euro,5000	 bis unter	5 500 Euro,"mehrere Personen, und zwar:",GBS
47,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1988,Deutschland,Weiblich,Realschulabschluss,Deutschland,2 250	 bis unter	2 500 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
48,,,,,nan,,Weiblich,Realschulabschluss,,,1 500	 bis unter	1 750 Euro,,GBS
49,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1984,Deutschland,Weiblich,Abitur,Deutschland,2 250	 bis unter	2 500 Euro,2 250	 bis unter	2 500 Euro,eine Person,GBS
50,,,,,nan,,Weiblich,Abitur,,,2 250	 bis unter	2 500 Euro,,GBS
51,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1947,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2 000	 bis unter	2 250 Euro,1 500	 bis unter	1 750 Euro,eine Person,GBS
52,,,,,nan,,Männlich,Hauptschulabschluss,,,1 500	 bis unter	1 750 Euro,,GBS
53,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Angestellte(r),Nicht erwerbstätig,Ledig,1993,Andere,Weiblich,Abitur,Deutschland,1 000 	 bis unter 	1 250 Euro,150 	 bis unter	400 Euro,"mehrere Personen, und zwar:",GBS
54,,,,,nan,,Weiblich,Abitur,,,150 	 bis unter	400 Euro,,GBS
55,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1981,Deutschland,Weiblich,Abitur,Deutschland,5 500	 bis unter	6 000 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
56,,,,,nan,,Weiblich,Abitur,,,3 000	 bis unter 	3 250 Euro,,GBS
57,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1970,Deutschland,Männlich,Andere,Deutschland,3 000	 bis unter 	3 250 Euro,2 750	 bis unter 	3 000 Euro,"mehrere Personen, und zwar:",GBS
58,Promotion,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1967,Deutschland,Männlich,Hochschulabschluss,Deutschland,10 000	 bis unter	20 000 Euro,7 500 	 bis unter 	10 000 Euro,"mehrere Personen, und zwar:",GBS
59,,,,,nan,,Männlich,Hochschulabschluss,,,7 500 	 bis unter 	10 000 Euro,,GBS
60,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1981,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,5 500	 bis unter	6 000 Euro,1 250 	 bis unter 	1 500 Euro,eine Person,GBS
61,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1986,Deutschland,Männlich,Hochschulabschluss,Deutschland,3 250	 bis unter 	3 500 Euro,3 000	 bis unter 	3 250 Euro,eine Person,GBS
62,,,,,nan,,Männlich,Hochschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
63,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1963,Deutschland,Weiblich,Realschulabschluss,Deutschland,4 500	 bis unter	5 000 Euro,1 000 	 bis unter 	1 250 Euro,"mehrere Personen, und zwar:",GBS
64,,,,,nan,,Weiblich,Realschulabschluss,,,1 000 	 bis unter 	1 250 Euro,,GBS
65,Bachelor an (Fach-)Hochschule abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1992,Deutschland,Weiblich,Hochschulabschluss,Deutschland,2 250	 bis unter	2 500 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
66,,,,,nan,,Weiblich,Hochschulabschluss,,,1 250 	 bis unter 	1 500 Euro,,GBS
67,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",mithelfende(r) Familienangehörige(r),Nicht erwerbstätig,Verheiratet,1945,Deutschland,Weiblich,Andere,Deutschland,2 000	 bis unter	2 250 Euro,801	 bis unter 	1 000 Euro,"mehrere Personen, und zwar:",GBS
68,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1989,Deutschland,Weiblich,Abitur,Deutschland,500 	 bis unter	800 Euro,500 	 bis unter	800 Euro,eine Person,GBS
69,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1955,Deutschland,Weiblich,Hochschulabschluss,Deutschland,3 750	 bis unter 	4 000 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
70,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1956,Deutschland,Weiblich,Abitur,Deutschland,Angabe verweigert,2 000	 bis unter	2 250 Euro,eine Person,GBS
71,,,,,nan,,Weiblich,Abitur,,,2 000	 bis unter	2 250 Euro,,GBS
72,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Geschieden,1963,Deutschland,Männlich,Hochschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,eine Person,GBS
73,,,,,nan,,Männlich,Hochschulabschluss,,,Angabe verweigert,,GBS
74,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1978,Deutschland,Männlich,Hochschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,4 000	 bis unter	4 500 Euro,eine Person,GBS
75,"Anderer Abschluss, und zwar:",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1974,Deutschland,Weiblich,Realschulabschluss,Deutschland,3 250	 bis unter 	3 500 Euro,2 500 	 bis unter 	2 750 Euro,"mehrere Personen, und zwar:",GBS
76,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Nicht erwerbstätig,Ledig,1962,Deutschland,Männlich,Realschulabschluss,Deutschland,2 500 	 bis unter 	2 750 Euro,2 500 	 bis unter 	2 750 Euro,eine Person,GBS
77,,,,,nan,,Männlich,Realschulabschluss,,,2 500 	 bis unter 	2 750 Euro,,GBS
78,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Ledig,1986,Deutschland,Männlich,Abitur,Deutschland,2 000	 bis unter	2 250 Euro,2 000	 bis unter	2 250 Euro,eine Person,GBS
79,,,,,nan,,Männlich,Abitur,,,2 000	 bis unter	2 250 Euro,,GBS
80,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1978,Andere,Männlich,Hochschulabschluss,Deutschland,2 250	 bis unter	2 500 Euro,Angabe verweigert,eine Person,GBS
81,,,,,nan,,Männlich,Hochschulabschluss,,,Angabe verweigert,,GBS
82,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Nicht erwerbstätig,Ledig,1977,Deutschland,Männlich,Hochschulabschluss,Deutschland,10 000	 bis unter	20 000 Euro,7 500 	 bis unter 	10 000 Euro,"mehrere Personen, und zwar:",GBS
83,,,,,nan,,Männlich,Hochschulabschluss,,,7 500 	 bis unter 	10 000 Euro,,GBS
84,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1971,Deutschland,Weiblich,Hochschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,2 500 	 bis unter 	2 750 Euro,"mehrere Personen, und zwar:",GBS
85,,,,,nan,,Weiblich,Hochschulabschluss,,,2 500 	 bis unter 	2 750 Euro,,GBS
86,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Geschieden,1965,Deutschland,Weiblich,Realschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
87,,,,,nan,,Weiblich,Realschulabschluss,,,1 750 	 bis unter	2 000 Euro,,GBS
88,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Nicht erwerbstätig,Ledig,1992,Deutschland,Weiblich,Abitur,Deutschland,6 000	 bis unter 	7 500 Euro,1 000 	 bis unter 	1 250 Euro,"mehrere Personen, und zwar:",GBS
89,,,,,nan,,Weiblich,Abitur,,,1 000 	 bis unter 	1 250 Euro,,GBS
90,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Ledig,1981,Deutschland,Weiblich,Realschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,1 000 	 bis unter 	1 250 Euro,"mehrere Personen, und zwar:",GBS
91,,,,,nan,,Weiblich,Realschulabschluss,,,1 000 	 bis unter 	1 250 Euro,,GBS
92,Promotion,keine passende Angabe,Vollzeiterwerbstätig,Ledig,1988,Deutschland,Weiblich,Hochschulabschluss,Deutschland,1 750 	 bis unter	2 000 Euro,500 	 bis unter	800 Euro,"mehrere Personen, und zwar:",GBS
93,,,,,nan,,Weiblich,Hochschulabschluss,,,500 	 bis unter	800 Euro,,GBS
94,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1951,Deutschland,Weiblich,Realschulabschluss,Deutschland,3 500	 bis unter 	3 750 Euro,500 	 bis unter	800 Euro,"mehrere Personen, und zwar:",GBS
95,,,,,nan,,Weiblich,Realschulabschluss,,,500 	 bis unter	800 Euro,,GBS
96,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1972,Deutschland,Weiblich,Abitur,Deutschland,3 750	 bis unter 	4 000 Euro,500 	 bis unter	800 Euro,"mehrere Personen, und zwar:",GBS
97,,,,,nan,,Weiblich,Abitur,,,500 	 bis unter	800 Euro,,GBS
98,Bachelor an (Fach-)Hochschule abgeschlossen,"Akademiker/-in in freiem Beruf (Arzt/Ärztin, Rechtsanwalt/-anwältin, Steuerberater/-in u. Ä.)",Vollzeiterwerbstätig,Verheiratet,1969,Deutschland,Männlich,Hochschulabschluss,Deutschland,7 500 	 bis unter 	10 000 Euro,6 000	 bis unter 	7 500 Euro,"mehrere Personen, und zwar:",GBS
99,,,,,nan,,Männlich,Hochschulabschluss,,,6 000	 bis unter 	7 500 Euro,,GBS
100,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,keine passende Angabe,Vollzeiterwerbstätig,Geschieden,1953,Deutschland,Männlich,Abitur,Deutschland,2 750	 bis unter 	3 000 Euro,2 750	 bis unter 	3 000 Euro,"mehrere Personen, und zwar:",GBS
101,,,,,nan,,Männlich,Abitur,,,2 750	 bis unter 	3 000 Euro,,GBS
102,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1965,Deutschland,Männlich,Realschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,3 000	 bis unter 	3 250 Euro,eine Person,GBS
103,,,,,nan,,Männlich,Realschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
104,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1951,Deutschland,Männlich,Realschulabschluss,Deutschland,1 750 	 bis unter	2 000 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
105,,,,,nan,,Männlich,Realschulabschluss,,,1 250 	 bis unter 	1 500 Euro,,GBS
106,"Anderer Abschluss, und zwar:",Angestellte(r),Nicht erwerbstätig,Geschieden,1952,Andere,Weiblich,Abitur,Deutschland,4 500	 bis unter	5 000 Euro,2 000	 bis unter	2 250 Euro,"mehrere Personen, und zwar:",GBS
107,,,,,nan,,Weiblich,Abitur,,,2 000	 bis unter	2 250 Euro,,GBS
108,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1992,Deutschland,Weiblich,Hochschulabschluss,Deutschland,2 000	 bis unter	2 250 Euro,801	 bis unter 	1 000 Euro,"mehrere Personen, und zwar:",GBS
109,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1985,Andere,Weiblich,Hochschulabschluss,Deutschland,5000	 bis unter	5 500 Euro,5000	 bis unter	5 500 Euro,eine Person,GBS
110,Bachelor an (Fach-)Hochschule abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,,1987,Deutschland,Weiblich,Hochschulabschluss,Deutschland,801	 bis unter 	1 000 Euro,801	 bis unter 	1 000 Euro,eine Person,GBS
111,,,,,nan,,Weiblich,Hochschulabschluss,,,801	 bis unter 	1 000 Euro,,GBS
112,Bachelor an (Fach-)Hochschule abgeschlossen,"Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Ledig,1983,Deutschland,Männlich,Hochschulabschluss,Deutschland,4 500	 bis unter	5 000 Euro,2 500 	 bis unter 	2 750 Euro,"mehrere Personen, und zwar:",GBS
113,,,,,nan,,Männlich,Hochschulabschluss,,,2 500 	 bis unter 	2 750 Euro,,GBS
114,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen","Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Ledig,1991,Deutschland,Männlich,Abitur,Deutschland,2 000	 bis unter	2 250 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
115,,,,,nan,,Männlich,Abitur,,,1 500	 bis unter	1 750 Euro,,GBS
116,"Fachhochschulabschluss (z. B. Diplom, Master)","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1967,Deutschland,Männlich,Hochschulabschluss,Deutschland,7 500 	 bis unter 	10 000 Euro,5000	 bis unter	5 500 Euro,"mehrere Personen, und zwar:",GBS
117,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",keine passende Angabe,Nicht erwerbstätig,Ledig,1991,Deutschland,Weiblich,Abitur,Deutschland,Angabe verweigert,kein eigenes Einkommen,"mehrere Personen, und zwar:",GBS
118,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1978,Deutschland,Männlich,Realschulabschluss,Deutschland,3 250	 bis unter 	3 500 Euro,2 000	 bis unter	2 250 Euro,"mehrere Personen, und zwar:",GBS
119,,,,,nan,,Männlich,Realschulabschluss,,,2 000	 bis unter	2 250 Euro,,GBS
120,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1993,Deutschland,Männlich,Realschulabschluss,Deutschland,1 250 	 bis unter 	1 500 Euro,1 250 	 bis unter 	1 500 Euro,eine Person,GBS
121,,,,,nan,,Männlich,Realschulabschluss,,,1 250 	 bis unter 	1 500 Euro,,GBS
122,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1959,Deutschland,Männlich,Abitur,Deutschland,5 500	 bis unter	6 000 Euro,4 000	 bis unter	4 500 Euro,"mehrere Personen, und zwar:",GBS
123,,,,,nan,,Männlich,Abitur,,,4 000	 bis unter	4 500 Euro,,GBS
124,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",[NA] Keine Angabe,Vollzeiterwerbstätig,Verheiratet,1952,Deutschland,Männlich,Hochschulabschluss,Deutschland,4 500	 bis unter	5 000 Euro,2 750	 bis unter 	3 000 Euro,"mehrere Personen, und zwar:",GBS
125,,,,,nan,,Männlich,Hochschulabschluss,,,2 750	 bis unter 	3 000 Euro,,GBS
