"case","serial","ref","questnnr","mode","started","am01","am02_01","am02_02","am03_01","am03_02","am04","am05","am06","am07","am08","am08_01","am08_02","am08_03","am08_04","am08_05","am08_06","am08_07","am08_08","am08_09","am08_11","am08_12","am08_13","am08_10","am08_10a","am09","am09_01","am09_02","am09_03","am09_04","am09_05","am09_06","am09_07","am09_08","am09_09","am09_11","am09_12","am09_10","am09_10a","am10","am10_01","am10_02","am10_03","am10_04","am10_05","am10_06","am10_07","am10_07a","am11","am11_05","am12","am13","am13_01","am13_02","am13_03","am13_04","am13_05","am13_06","am13_07","am13_08","am14","am14_09","am15","am15_12","am17","am17_01","am17_02","am17_03","am17_04","am17_05","am17_06","am17_07","am17_12","am17_08","am17_09","am17_10","am17_11","am18","am19","am20_01","am22","am23","am24","am24_02","am25","am25_02","am27","am29","am30","gh02_01","gh03_01","gh03_02","gh03_03","gh03_04","gh03_05","gh03_06","gh03_07","gh03_08","gh03_09","gh03_10","gh03_11","gh03_12","gh03_13","gh04_01","gh05_01","gh06_01","gh07_01","gh08_01","gh08_02","gh08_03","gh09_01","gh09_02","gh10_01","gh11_01","gh11_02","gh12_01","lo01_01","lo01_02","lo01_03","lo01_04","lo01_05","lo01_06","lo01_07","lo01_08","lo01_09","lo01_10","so01_01","so02_01","sw02_01","sw02_02","sw02_03","sw02_04","sw02_05","sw02_06","sw02_07","sw02_08","sw02_09","sw02_10","ie01_01","ie01_02","ie01_03","ie01_04","os02","os03","os04","br01_01","br01_02","br01_03","br01_04","br01_05","br01_06","pt02_01","pt02_02","pt02_03","pt02_04","pt02_05","pt01_01","pt01_02","pt01_03","pt01_04","pt01_05","pt06_01","pt03_01","pt05_01","pt04","rc01_01","rc02_01","time001","time002","time003","time004","time005","time006","time007","time008","time009","time010","time011","time012","time013","time014","time015","time016","time017","time018","time019","time020","time021","time022","time023","time024","time025","time026","time_sum","mailsent","lastdata","finished","q_viewer","lastpage","maxpage","missing","missrel","time_rsi","deg_time","kuerzel","geburtsdatum","geschlecht","gruppe","fall","gbs_code","runde2","fall_runde2","runde1","vollstaendig","nurwelle2","welle2","welle"
841,"771VYNHHTG",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-10 09:35:39,"weiblich",NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hochschulabschluss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 000 	 bis unter 	1 250 Euro",NA,2,3,3,3,3,4,4,4,4,4,3,4,4,3,3,2,3,3,3,3,3,1,1,1,1,1,1,3,4,2,4,5,1,1,4,1,4,6,2,3,3,3,3,3,3,3,3,3,3,5,5,2,2,"6 oder mehr","sehr viel Anteilnahme und Interesse","einfach",4,2,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,TRUE,NA,"LUBE91",5,25,163,49,7,11,32,12,23,18,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361,NA,2017-10-10 16:36:41,TRUE,FALSE,13,13,0,0,1.75,38,"LUBE91",1991-02-08,"weiblich","POSITIV",414,"GBS-31045","JA",841,1,NA,NA,TRUE,"Welle 2"
78,"78CDMXVLVA",NA,"Resilienz_und_politische_Teilhabe03","interview",2017-09-14 16:33:33,"weiblich",1988-10-04,28,178,60,"nicht zutreffend",NA,"nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",NA,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Nicht abhängig beschäftigt","Nein",0,"keine passende Angabe","Ledig","eine Person",NA,"eine Person",NA,"3 500	 bis unter 	3 750 Euro","kein eigenes Einkommen","Viel gesünder/ viel weniger krank",2,3,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,3,4,3,3,1,1,1,1,1,1,4,2,3,3,5,3,1,3,3,4,2,6,3,4,3,3,3,2,4,3,3,2,4,3,2,2,"6 oder mehr","weder viel noch wenig","einfach",4,2,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"DEMU88",NA,21,31,29,3,NA,3,NA,17,10,NA,13,78,38,66,6,112,64,9,7,43,22,28,33,7,NA,NA,640,NA,2017-09-14 16:44:13,TRUE,FALSE,24,24,0,0,1.42,23,"DEMU88",1988-10-04,"weiblich","NULL",78,"GBS-22116","JA",679,1,NA,NA,FALSE,"Welle 1"
679,"78CDMXVLVA",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-08 12:37:34,"weiblich",NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kein eigenes Einkommen",NA,2,4,4,4,4,4,4,4,3,4,3,4,4,3,3,2,3,3,4,3,3,1,1,1,1,1,1,3,2,4,2,3,3,1,5,2,4,3,5,3,3,3,3,3,2,4,3,3,3,3,4,2,2,"6 oder mehr","weder viel noch wenig","möglich",4,2,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,TRUE,NA,"DEMU88",8,37,151,110,7,5,51,26,18,40,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469,NA,2017-10-08 12:45:23,TRUE,FALSE,13,13,0,0,1.42,22,"DEMU88",1988-10-04,"weiblich","NULL",78,"GBS-22116","JA",679,1,NA,NA,TRUE,"Welle 2"
444,"7AQQ83GCBF",NA,"Resilienz_und_politische_Teilhabe03","interview",2017-09-22 12:38:39,"weiblich",1991-09-16,26,159,54,"nicht zutreffend",NA,"nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Realschulabschluss (Mittlere Reife)",NA,"Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Eins","Nein",40,"Angestellte(r)","Ledig","eine Person",NA,"eine Person",NA,"2 000	 bis unter	2 250 Euro","2 000	 bis unter	2 250 Euro","Gleich gesund/ gleichhäufig krank",3,3,2,2,1,1,4,4,4,3,4,4,3,4,2,2,3,3,3,3,3,1,1,1,1,1,1,4,2,2,5,5,3,5,4,5,5,6,2,3,3,4,3,2,2,3,1,2,4,5,5,2,3,"3 - 5","viel Anteilnahme und Interesse","möglich",2,4,2,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"MAME85",NA,8,108,45,4,NA,4,NA,20,8,NA,22,79,39,32,11,403,62,6,5,94,24,21,41,11,NA,NA,1047,NA,2017-09-22 12:56:38,TRUE,FALSE,24,24,0,0,1.31,23,"MAME85",1991-09-16,"weiblich","NULL",444,"GBS-33811","JA",674,1,NA,NA,FALSE,"Welle 1"
105,"7D7YCWZUUQ",NA,"Resilienz_und_politische_Teilhabe03","interview",2017-09-15 10:04:18,"weiblich",1971-08-28,46,180,68,"zutreffend","bekannt","nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fachhochschulreife (Abschluss einer Fachoberschule)",NA,"Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Nicht abhängig beschäftigt","Ja",42,"Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)","Ledig","eine Person",NA,"eine Person",NA,"1 750 	 bis unter	2 000 Euro","1 750 	 bis unter	2 000 Euro","Gesünder/ weniger oft krank",2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,1,1,1,1,1,1,5,4,2,5,4,3,2,3,1,5,6,2,3,3,3,3,3,3,3,3,3,3,5,4,1,2,"3 - 5","weder viel noch wenig","schwierig",4,3,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"KAMO71",NA,31,81,46,7,9,4,NA,17,11,NA,10,61,72,94,15,115,98,11,7,234,28,43,46,8,NA,NA,877,NA,2017-09-15 10:21:46,TRUE,FALSE,24,24,0,0,0.99,6,"KAMO71",1971-08-28,"weiblich","NULL",105,"GBS-30758","JA",780,1,NA,NA,FALSE,"Welle 1"
780,"7D7YCWZUUQ",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-09 11:47:44,"weiblich",NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fachhochschulreife (Abschluss einer Fachoberschule)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 750 	 bis unter	2 000 Euro",NA,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,1,1,1,1,1,1,4,5,2,4,4,3,2,4,1,5,7,2,3,3,3,3,3,3,4,4,3,3,5,4,1,2,"3 - 5","weder viel noch wenig","schwierig",4,2,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,TRUE,NA,"KAMO71",14,17,147,78,10,7,122,20,25,51,10,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524,NA,2017-10-09 11:56:28,TRUE,FALSE,13,13,0,0,1.12,10,"KAMO71",1971-08-28,"weiblich","NULL",105,"GBS-30758","JA",780,1,NA,NA,TRUE,"Welle 2"
895,"7G55P6V1UB",NA,"Resilienz_und_politische_Teilhabe05","interview",2017-10-11 15:11:37,"weiblich",1960-11-02,56,172,70,"nicht zutreffend",NA,"nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",NA,"Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Eins","Nein",40,"Angestellte(r)","Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen","mehrere Personen, und zwar:",2,"mehrere Personen, und zwar:",2,"4 500	 bis unter	5 000 Euro","2 000	 bis unter	2 250 Euro","Viel gesünder/ viel weniger krank",2,3,4,4,4,4,4,2,2,3,4,4,4,4,3,2,3,2,3,3,3,1,1,1,1,1,1,4,5,1,1,2,2,2,5,1,5,7,2,3,3,3,3,3,4,4,4,3,4,5,5,2,2,"6 oder mehr","viel Anteilnahme und Interesse","einfach",5,1,5,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,TRUE,"GASO60",NA,21,28,22,4,NA,3,NA,18,12,NA,9,24,25,64,22,147,86,10,11,78,27,42,56,7,5,13,734,NA,2017-10-11 15:23:51,TRUE,FALSE,26,26,0,0,1.26,14,"GASO60",1960-11-02,"weiblich","NULL",895,"GBS-23524",NA,NA,NA,"JA",1,TRUE,"Welle 2"
139,"7KNCDFSXZ1",NA,"Resilienz_und_politische_Teilhabe03","interview",2017-09-15 18:03:34,"männlich",1956-05-14,61,182,100,"nicht zutreffend",NA,"nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fachhochschulreife (Abschluss einer Fachoberschule)",NA,"Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Eins","Nein",48,"Angestellte(r)","Eingetragene/r Lebenspartner/-in verstorben (gleichgeschlechtlich)","mehrere Personen, und zwar:",2,"mehrere Personen, und zwar:",2,"5 500	 bis unter	6 000 Euro","4 500	 bis unter	5 000 Euro","Gleich gesund/ gleichhäufig krank",2,4,4,4,4,4,4,3,3,4,4,4,4,4,3,2,3,3,3,3,3,1,1,1,1,1,1,5,5,1,5,5,4,1,5,2,5,6,2,3,3,3,3,3,3,3,3,3,3,4,4,2,2,"1 - 2","weder viel noch wenig","einfach",4,2,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"OTKR56",NA,11,99,37,9,NA,4,NA,25,11,NA,23,66,69,134,34,292,159,21,17,87,35,48,51,17,NA,NA,1249,NA,2017-09-15 18:24:23,TRUE,FALSE,24,24,0,0,0.81,4,"OTKR56",1956-05-14,"männlich","NULL",139,"GBS-15434","JA",729,1,NA,NA,FALSE,"Welle 1"
729,"7KNCDFSXZ1",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-08 18:58:28,"männlich",NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fachhochschulreife (Abschluss einer Fachoberschule)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 500	 bis unter	5 000 Euro",NA,2,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,3,3,3,3,3,1,1,1,1,1,1,5,5,1,4,5,4,1,5,2,4,6,2,3,3,3,3,3,3,3,3,3,3,4,4,2,2,"1 - 2","viel Anteilnahme und Interesse","möglich",4,2,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,TRUE,NA,"OTKR56",8,48,292,161,23,15,102,34,57,50,15,11,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,842,NA,2017-10-08 19:12:30,TRUE,FALSE,13,13,0,0,0.7,2,"OTKR56",1956-05-14,"männlich","NULL",139,"GBS-15434","JA",729,1,NA,NA,TRUE,"Welle 2"
455,"7LCX1CMAQ9",NA,"Resilienz_und_politische_Teilhabe01","interview",2017-09-22 13:18:46,"männlich",1952-04-26,65,180,97,"nicht zutreffend",NA,"nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hochschulabschluss",NA,"Fachhochschulabschluss (z. B. Diplom, Master)",NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"[NA] Keine Angabe","Nein",0,"keine passende Angabe","Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen","mehrere Personen, und zwar:",2,"mehrere Personen, und zwar:",2,"4 000	 bis unter	4 500 Euro","1 250 	 bis unter 	1 500 Euro","Gesünder/ weniger oft krank",2,4,4,4,4,4,4,4,4,4,3,4,4,3,3,2,3,3,3,3,3,1,1,1,1,1,1,4,5,1,5,5,3,2,4,2,5,6,2,3,3,3,3,3,4,4,3,3,3,4,5,2,2,"3 - 5","viel Anteilnahme und Interesse","einfach",5,1,5,2,4,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,5,NA,NA,"GULO52",NA,20,86,37,8,NA,7,NA,30,19,NA,16,60,128,354,18,270,133,20,18,89,42,55,72,67,21,NA,1202,NA,2017-09-22 13:44:56,TRUE,FALSE,25,25,0,0,0.75,1,"GULO52",1952-04-26,"männlich","POSITIV",455,"GBS-21254","JA",787,1,NA,NA,FALSE,"Welle 1"
787,"7LCX1CMAQ9",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-09 12:47:52,"männlich",NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hochschulabschluss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 250 	 bis unter 	1 500 Euro",NA,2,3,4,4,4,4,4,4,4,4,3,4,4,4,3,2,3,3,3,3,3,1,1,1,1,1,1,5,5,1,5,5,3,2,5,1,5,6,2,4,4,4,3,3,3,3,3,3,3,5,5,2,2,"6 oder mehr","viel Anteilnahme und Interesse","einfach",5,2,5,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,TRUE,NA,"GULO52",7,31,160,83,10,8,47,23,38,46,15,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485,NA,2017-10-09 12:55:57,TRUE,FALSE,13,13,0,0,1.11,7,"GULO52",1952-04-26,"männlich","POSITIV",455,"GBS-21254","JA",787,1,NA,NA,TRUE,"Welle 2"
133,"7M1AQGNWFX",NA,"Resilienz_und_politische_Teilhabe01","interview",2017-09-15 17:21:26,"männlich",1975-08-27,42,178,80,"nicht zutreffend",NA,"nicht zutreffend",NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"tschechisch",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"sonstige, und zwar:","Tschechien","Nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Realschulabschluss (Mittlere Reife)",NA,"Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Eins","Nein",40,"Angestellte(r)","Ledig","eine Person",NA,"eine Person",NA,"Angabe verweigert","Angabe verweigert","Gleich gesund/ gleichhäufig krank",2,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,3,3,3,3,3,1,1,1,1,1,1,4,3,1,3,5,4,1,4,2,3,4,4,2,3,2,3,3,3,2,3,3,4,3,4,4,3,"3 - 5","weder viel noch wenig","schwierig",5,1,5,1,5,1,3,5,1,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,"paio75",NA,92,54,49,11,NA,5,NA,173,7,NA,24,51,115,57,51,345,238,21,14,223,88,114,72,169,15,NA,1225,NA,2017-09-15 17:54:34,TRUE,FALSE,25,25,0,0,0.64,2,"paio75",1975-08-27,"männlich","POSITIV",133,"GBS-21703","JA",954,1,NA,NA,FALSE,"Welle 1"
954,"7M1AQGNWFX",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-13 19:45:58,"männlich",NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Realschulabschluss (Mittlere Reife)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angabe verweigert",NA,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,1,1,1,1,1,1,5,4,2,3,5,5,2,3,4,5,5,3,3,3,3,2,2,3,3,4,4,4,3,4,3,2,"1 - 2","weder viel noch wenig","schwierig",5,2,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,TRUE,NA,"PAIO75",39,1129,269,174,32,28,110,49,92,57,27,8,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951,NA,2017-10-13 20:20:07,TRUE,FALSE,13,13,0,0,0.47,0,"paio75",1975-08-27,"männlich","POSITIV",133,"GBS-21703","JA",954,1,NA,NA,TRUE,"Welle 2"
409,"7QCRT2YTE2",NA,"Resilienz_und_politische_Teilhabe01","interview",2017-09-21 16:36:18,"männlich",1980-08-17,37,178,67,"nicht zutreffend",NA,"nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",NA,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Eins","Nein",39,"Angestellte(r)","Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen","mehrere Personen, und zwar:",2,"mehrere Personen, und zwar:",2,"3 750	 bis unter 	4 000 Euro","2 250	 bis unter	2 500 Euro","Gleich gesund/ gleichhäufig krank",2,2,2,4,4,4,4,4,3,3,3,4,4,3,3,2,3,3,3,3,3,1,1,1,1,1,1,4,5,2,3,5,2,2,4,1,5,6,1,3,3,3,3,3,3,3,1,3,3,5,4,1,2,"6 oder mehr","viel Anteilnahme und Interesse","möglich",3,2,4,2,4,2,1,3,5,2,3,NA,NA,NA,NA,NA,NA,5,NA,NA,"SVPE80",NA,11,45,32,7,NA,10,NA,27,12,NA,34,34,23,56,19,200,134,36,16,82,40,44,97,88,11,NA,1035,NA,2017-09-21 16:53:57,TRUE,FALSE,25,25,0,0,0.99,9,"SVPE80",1980-08-17,"männlich","POSITIV",409,"GBS-28637","JA",736,1,NA,NA,FALSE,"Welle 1"
736,"7QCRT2YTE2",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-08 19:44:43,"männlich",NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 250	 bis unter	2 500 Euro",NA,1,3,2,4,4,4,4,4,3,3,2,4,4,2,4,2,3,3,4,3,2,1,1,1,1,1,1,3,4,2,4,5,2,2,4,1,5,5,2,3,3,3,3,3,3,3,3,3,3,5,4,3,2,"6 oder mehr","viel Anteilnahme und Interesse","möglich",3,2,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,TRUE,NA,"svpe80",52,34,330,173,34,13,234,113,130,172,15,22,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355,NA,2017-10-08 20:07:19,TRUE,FALSE,13,13,0,0,0.43,0,"SVPE80",1980-08-17,"männlich","POSITIV",409,"GBS-28637","JA",736,1,NA,NA,TRUE,"Welle 2"
